token_id	speaker	iu_type	iu_id	tu_id	span	form	type	modality	features	align
18-1	SPK0031	Falling	18	14	¬Жанат	Жанат	linguistic	_	Anonymized=Yes	_
18-2	SPK0031	Falling	18	14	баяғы.	баяғы	linguistic	_	_	End=28.048
19-0	SPK0032	undefined	19	15	¬Жанат	Жанат	linguistic	_	Anonymized=Yes	Begin=27.992|End=28.425
20-0	SPK0032	Continuing	20	16	Тіпті,	Тіпті	linguistic	_	_	Begin=29.36|End=30.174
21-0	SPK0031	Falling	21	14	@	@	linguistic	_	_	Begin=29.37
21-1	SPK0031	Falling	21	14	@қап-қара	@қап-қара	linguistic	_	_	_
21-2	SPK0031	Falling	21	14	@	@	linguistic	_	_	_
21-3	SPK0031	Falling	21	14	қап-қара.	қап-қара	linguistic	_	_	End=31.157
22-0	SPK0032	Falling	22	16	танаулары	танаулары	linguistic	_	_	Begin=31.568
22-1	SPK0032	Falling	22	16	әшейін	әшейін	linguistic	_	_	_
22-2	SPK0032	Falling	22	16	¬Жанат.	Жанат	linguistic	_	Anonymized=Yes	End=33.005
23-0	SPK0031	Falling	23	_	####.	####	unknown	_	_	Begin=31.618|End=33.443
24-0	SPK0031	Continuing	24	17	Әгі,	Әгі	linguistic	_	_	Begin=33.453|End=33.735
25-0	SPK0031	Falling	25	17	қыз	қыз	linguistic	_	_	Begin=33.737
25-1	SPK0031	Falling	25	17	баласы	баласы	linguistic	_	_	_
25-2	SPK0031	Falling	25	17	келді	келді	linguistic	_	_	_
25-3	SPK0031	Falling	25	17	бір	бір	linguistic	_	_	_
25-4	SPK0031	Falling	25	17	уақта.	уақта	linguistic	_	_	End=35.377
26-0	SPK0031	Continuing	26	18	Бір	Бір	linguistic	_	_	Begin=36.121
26-1	SPK0031	Continuing	26	18	келді	келді	linguistic	_	_	_
26-2	SPK0031	Continuing	26	18	апа,	апа	linguistic	_	_	End=37.281
27-0	SPK0031	Continuing	27	19	мынандай	мынандай	linguistic	_	_	Begin=38.218
27-1	SPK0031	Continuing	27	19	бір	бір	linguistic	_	_	_
27-2	SPK0031	Continuing	27	19	екі	екі	linguistic	_	_	_
27-3	SPK0031	Continuing	27	19	қолында	қолында	linguistic	_	_	_
27-4	SPK0031	Continuing	27	19	екі:,	екі	linguistic	_	Prolongation=2	End=40.529
28-0	SPK0031	Falling	28	19	несі	несі	linguistic	_	_	Begin=41.758
28-1	SPK0031	Falling	28	19	бар.	бар	linguistic	_	_	End=42.299
29-0	SPK0031	Falling	29	20	Мороженое	Мороженое	linguistic	_	_	Begin=42.409
29-1	SPK0031	Falling	29	20	дейді.	дейді	linguistic	_	_	End=43.834
30-0	SPK0031	Falling	30	21	Әкеп	Әкеп	linguistic	_	_	Begin=43.952
30-1	SPK0031	Falling	30	21	апасына	апасына	linguistic	_	_	_
30-2	SPK0031	Falling	30	21	берді.	берді	linguistic	_	_	End=45.312
31-0	SPK0031	Falling	31	22	Бір	Бір	linguistic	_	_	Begin=45.312
31-1	SPK0031	Falling	31	22	морожыный.	морожыный	linguistic	_	_	End=46.128
32-0	SPK0031	Falling	32	22	Бір	Бір	linguistic	_	_	Begin=46.142
32-1	SPK0031	Falling	32	22	морожын	морожын	linguistic	_	_	_
32-2	SPK0031	Falling	32	22	өз	өз	linguistic	_	_	_
32-3	SPK0031	Falling	32	22	қолында.	қолында	linguistic	_	_	End=47.64
33-0	SPK0031	Falling	33	23	¬Жания	Жания	linguistic	_	Anonymized=Yes	Begin=47.978
33-1	SPK0031	Falling	33	23	жеп	жеп	linguistic	_	_	_
33-2	SPK0031	Falling	33	23	қойды	қойды	linguistic	_	_	_
33-3	SPK0031	Falling	33	23	әгіні	әгіні	linguistic	_	_	_
33-4	SPK0031	Falling	33	23	отырып.	отырып	linguistic	_	_	End=49.708
34-0	SPK0031	Falling	34	24	Морожыный.	Морожыный	linguistic	_	_	Begin=51.047|End=51.702
35-0	SPK0031	Falling	35	25	Мен	Мен	linguistic	_	_	Begin=52.723
35-1	SPK0031	Falling	35	25	айтамын	айтамын	linguistic	_	_	_
35-2	SPK0031	Falling	35	25	тамағың	тамағың	linguistic	_	_	_
35-3	SPK0031	Falling	35	25	####	####	unknown	_	_	_
35-4	SPK0031	Falling	35	25	мұздай.	мұздай	linguistic	_	_	End=55.124
36-0	SPK0032	Falling	36	26	Же:йді.	Жейді	linguistic	_	Prolongation=1	Begin=54.303|End=54.983
37-0	SPK0032	Rising	37	26	Жейді	Жейді	linguistic	_	_	Begin=54.983
37-1	SPK0032	Rising	37	26	екен	екен	linguistic	_	_	_
37-2	SPK0032	Rising	37	26	ғой	ғой	linguistic	_	_	_
37-3	SPK0032	Rising	37	26	иә?	иә	linguistic	_	_	End=56.134
38-0	SPK0031	Falling	38	27	Мен	Мен	linguistic	_	_	Begin=56.824
38-1	SPK0031	Falling	38	27	жеймін	жеймін	linguistic	_	_	_
38-2	SPK0031	Falling	38	27	дейді.	дейді	linguistic	_	_	End=58.05
39-0	SPK0031	Continuing	39	28	Содан	Содан	linguistic	_	_	Begin=58.604
39-1	SPK0031	Continuing	39	28	кейін	кейін	linguistic	_	_	_
39-2	SPK0031	Continuing	39	28	бір	бір	linguistic	_	_	_
39-3	SPK0031	Continuing	39	28	уақта,	уақта	linguistic	_	_	End=59.935
40-0	SPK0031	Falling	40	28	бір	бір	linguistic	_	_	Begin=61.241
40-1	SPK0031	Falling	40	28	мынандай	мынандай	linguistic	_	_	_
40-2	SPK0031	Falling	40	28	шыт	шыт	linguistic	_	_	_
40-3	SPK0031	Falling	40	28	алып	алып	linguistic	_	_	_
40-4	SPK0031	Falling	40	28	келді.	келді	linguistic	_	_	End=62.674
41-0	SPK0031	Falling	41	29	Жаңа.	Жаңа	linguistic	_	_	Begin=63.169|End=63.77
42-0	SPK0031	Falling	42	30	Міне	Міне	linguistic	_	_	Begin=65.17
42-1	SPK0031	Falling	42	30	апа	апа	linguistic	_	_	_
42-2	SPK0031	Falling	42	30	деді.	деді	linguistic	_	_	End=66.094
43-0	SPK0031	Falling	43	31	Мынау	Мынау	linguistic	_	_	Begin=66.478
43-1	SPK0031	Falling	43	31	немене	немене	linguistic	_	_	_
43-2	SPK0031	Falling	43	31	деп	деп	linguistic	_	_	_
43-3	SPK0031	Falling	43	31	бүйтіп	бүйтіп	linguistic	_	_	_
43-4	SPK0031	Falling	43	31	қарады.	қарады	linguistic	_	_	End=67.649
44-0	SPK0031	Falling	44	32	Шыт	Шыт	linguistic	_	_	Begin=68.138
44-1	SPK0031	Falling	44	32	деді.	деді	linguistic	_	_	End=68.788
45-0	SPK0031	Continuing	45	33	Алдында	Алдында	linguistic	_	_	Begin=69.886
45-1	SPK0031	Continuing	45	33	морожное	морожное	linguistic	_	_	_
45-2	SPK0031	Continuing	45	33	берді,	берді	linguistic	_	_	End=71.248
46-0	SPK0031	Falling	46	33	одан	одан	linguistic	_	_	Begin=71.248
46-1	SPK0031	Falling	46	33	бір	бір	linguistic	_	_	_
46-2	SPK0031	Falling	46	33	шыт	шыт	linguistic	_	_	_
46-3	SPK0031	Falling	46	33	әкеп	әкеп	linguistic	_	_	_
46-4	SPK0031	Falling	46	33	берді.	берді	linguistic	_	_	End=72.701
47-0	SPK0031	Continuing	47	34	Шәй	Шәй	linguistic	_	_	Begin=73.143
47-1	SPK0031	Continuing	47	34	ішіп	ішіп	linguistic	_	_	_
47-2	SPK0031	Continuing	47	34	отырғанда	отырғанда	linguistic	_	_	_
47-3	SPK0031	Continuing	47	34	айтады,	айтады	linguistic	_	_	End=74.178
48-0	SPK0031	Continuing	48	34	әгі	әгі	linguistic	_	_	Begin=74.178
48-1	SPK0031	Continuing	48	34	шытты	шытты	linguistic	_	_	_
48-2	SPK0031	Continuing	48	34	алдың	алдың	linguistic	_	_	_
48-3	SPK0031	Continuing	48	34	ба	ба	linguistic	_	_	_
48-4	SPK0031	Continuing	48	34	дейді	дейді	linguistic	_	_	_
48-5	SPK0031	Continuing	48	34	келіні,	келіні	linguistic	_	_	End=76.018
49-0	SPK0031	Falling	49	35	иә	иә	linguistic	_	_	Begin=76.018
49-1	SPK0031	Falling	49	35	берді.	берді	linguistic	_	_	End=77.213
50-0	SPK0031	Falling	50	36	Ана	Ана	linguistic	_	_	Begin=77.407
50-1	SPK0031	Falling	50	36	ескі	ескі	linguistic	_	_	_
50-2	SPK0031	Falling	50	36	шытты	шытты	linguistic	_	_	_
50-3	SPK0031	Falling	50	36	жұлып	жұлып	linguistic	_	_	_
50-4	SPK0031	Falling	50	36	алды.	алды	linguistic	_	_	End=78.988
51-0	SPK0031	Interrupted	51	37	Боқтыққа	Боқтыққа	linguistic	_	_	Begin=79.612
51-1	SPK0031	Interrupted	51	37	тастай—	тастай—	linguistic	_	Interrupted=Yes	End=80.498
52-0	SPK0031	Falling	52	37	Әгі	Әгі	linguistic	_	_	Begin=80.498
52-1	SPK0031	Falling	52	37	неге	неге	linguistic	_	_	_
52-2	SPK0031	Falling	52	37	тастаймын	тастаймын	linguistic	_	_	_
52-3	SPK0031	Falling	52	37	деді.	деді	linguistic	_	_	End=81.647
53-0	SPK0031	Falling	53	37	¬Жанияның	Жанияның	linguistic	_	Anonymized=Yes	Begin=82.092
53-1	SPK0031	Falling	53	37	қолындағы.	қолындағы	linguistic	_	_	End=83.535
54-0	SPK0032	Falling	54	_	##.	##	unknown	_	_	Begin=82.206|End=82.986
55-0	SPK0031	Falling	55	38	##.	##	unknown	_	_	Begin=85.036|End=85.383
56-0	SPK0031	Continuing	56	38	Әгі	Әгі	linguistic	_	_	Begin=85.446
56-1	SPK0031	Continuing	56	38	мына,	мына	linguistic	_	_	End=85.795
57-0	SPK0031	Falling	57	38	сүртіп	сүртіп	linguistic	_	_	Begin=85.795
57-1	SPK0031	Falling	57	38	отырған	отырған	linguistic	_	_	_
57-2	SPK0031	Falling	57	38	шытын	шытын	linguistic	_	_	_
57-3	SPK0031	Falling	57	38	алды.	алды	linguistic	_	_	End=87.16
58-0	SPK0031	Falling	58	39	Неге	Неге	linguistic	_	_	Begin=87.91
58-1	SPK0031	Falling	58	39	тастайын	тастайын	linguistic	_	_	_
58-2	SPK0031	Falling	58	39	деді.	деді	linguistic	_	_	End=89.255
59-0	SPK0032	Rising	59	40	Кіти	Кіти	linguistic	_	_	Begin=91.136
59-1	SPK0032	Rising	59	40	төртбұрыш	төртбұрыш	linguistic	_	_	_
59-2	SPK0032	Rising	59	40	шыт?	шыт	linguistic	_	_	End=92.249
60-0	SPK0031	Falling	60	41	Иә	Иә	linguistic	_	_	Begin=92.505
60-1	SPK0031	Falling	60	41	у	у	linguistic	_	_	_
60-2	SPK0031	Falling	60	41	носовой	носовой	linguistic	_	_	_
60-3	SPK0031	Falling	60	41	плоток.	плоток	linguistic	_	_	End=94.164
61-0	SPK0032	Falling	61	42	Еее.	Еее	linguistic	_	_	Begin=93.895|End=94.829
62-0	SPK0031	Falling	62	43	Осындай	Осындай	linguistic	_	_	Begin=94.798
62-1	SPK0031	Falling	62	43	осындай.	осындай	linguistic	_	_	End=95.84
63-0	SPK0031	Falling	63	44	Үлкен	Үлкен	linguistic	_	_	Begin=96.154
63-1	SPK0031	Falling	63	44	анау	анау	linguistic	_	_	_
63-2	SPK0031	Falling	63	44	менікі	менікі	linguistic	_	_	_
63-3	SPK0031	Falling	63	44	сияқты.	сияқты	linguistic	_	_	End=97.679
64-0	SPK0032	Falling	64	45	Ааа.	Ааа	linguistic	_	_	Begin=98.498|End=99.382
65-0	SPK0031	Falling	65	46	Екі	Екі	linguistic	_	_	Begin=100.158
65-1	SPK0031	Falling	65	46	жүз	жүз	linguistic	_	_	_
65-2	SPK0031	Falling	65	46	теңге	теңге	linguistic	_	_	_
65-3	SPK0031	Falling	65	46	деп	деп	linguistic	_	_	_
65-4	SPK0031	Falling	65	46	сөйдейді.	сөйдейді	linguistic	_	_	End=101.719
66-0	SPK0031	Continuing	66	47	Немене	Немене	linguistic	_	_	Begin=101.964
66-1	SPK0031	Continuing	66	47	оны,	оны	linguistic	_	_	End=102.594
67-0	SPK0031	Falling	67	47	мынау	мынау	linguistic	_	_	Begin=102.594
67-1	SPK0031	Falling	67	47	ескі.	ескі	linguistic	_	_	End=103.395
68-0	SPK0031	Continuing	68	47	Жаман,	Жаман	linguistic	_	_	Begin=103.494|End=104.188
69-0	SPK0031	Falling	69	47	мынаны	мынаны	linguistic	_	_	Begin=104.188
69-1	SPK0031	Falling	69	47	тастаймын.	тастаймын	linguistic	_	_	End=105.322
70-0	SPK0031	Falling	70	47	Деп	Деп	linguistic	_	_	Begin=105.618
70-1	SPK0031	Falling	70	47	алды	алды	linguistic	_	_	_
70-2	SPK0031	Falling	70	47	да	да	linguistic	_	_	_
70-3	SPK0031	Falling	70	47	мына	мына	linguistic	_	_	_
70-4	SPK0031	Falling	70	47	жағында	жағында	linguistic	_	_	_
70-5	SPK0031	Falling	70	47	бірдеңеге	бірдеңеге	linguistic	_	_	_
70-6	SPK0031	Falling	70	47	тастай	тастай	linguistic	_	_	_
70-7	SPK0031	Falling	70	47	салды.	салды	linguistic	_	_	End=108.241
71-0	SPK0032	Falling	71	48	¬Жанат	Жанат	linguistic	_	Anonymized=Yes	Begin=110.38
71-1	SPK0032	Falling	71	48	жоқ	жоқ	linguistic	_	_	_
71-2	SPK0032	Falling	71	48	па	па	linguistic	_	_	_
71-3	SPK0032	Falling	71	48	үйде.	үйде	linguistic	_	_	End=111.327
72-0	SPK0031	Falling	72	49	Жүр	Жүр	linguistic	_	_	Begin=111.661
72-1	SPK0031	Falling	72	49	жатыр.	жатыр	linguistic	_	_	End=112.453
73-0	SPK0031	Continuing	73	50	Енді	Енді	linguistic	_	_	Begin=114.83
73-1	SPK0031	Continuing	73	50	ана,	ана	linguistic	_	_	End=115.624
74-0	SPK0031	Continuing	74	50	бір	бір	linguistic	_	_	Begin=115.721
74-1	SPK0031	Continuing	74	50	уақта	уақта	linguistic	_	_	_
74-2	SPK0031	Continuing	74	50	телефонмен	телефонмен	linguistic	_	_	_
74-3	SPK0031	Continuing	74	50	сөйлесіп,	сөйлесіп	linguistic	_	_	End=117.274
75-0	SPK0031	Continuing	75	50	жеңгем,	жеңгем	linguistic	_	_	Begin=117.35|End=118.533
76-0	SPK0031	Continuing	76	50	қайтыс	қайтыс	linguistic	_	_	Begin=119.074
76-1	SPK0031	Continuing	76	50	болыпты	болыпты	linguistic	_	_	_
76-2	SPK0031	Continuing	76	50	ммм,	ммм	disfluency	_	_	End=120.336
77-0	SPK0031	Continuing	77	50	енді,	енді	linguistic	_	_	Begin=120.401|End=121.041
78-0	SPK0031	Continuing	78	50	баруым	баруым	linguistic	_	_	Begin=121.041
78-1	SPK0031	Continuing	78	50	керек	керек	linguistic	_	_	_
78-2	SPK0031	Continuing	78	50	қалай	қалай	linguistic	_	_	_
78-3	SPK0031	Continuing	78	50	мен,	мен	linguistic	_	_	End=123.046
79-0	SPK0031	Rising	79	50	жеңгем	жеңгем	linguistic	_	_	Begin=123.138
79-1	SPK0031	Rising	79	50	қайтыс	қайтыс	linguistic	_	_	_
79-2	SPK0031	Rising	79	50	болғанда	болғанда	linguistic	_	_	_
79-3	SPK0031	Rising	79	50	отырамын	отырамын	linguistic	_	_	_
79-4	SPK0031	Rising	79	50	деді	деді	linguistic	_	_	_
79-5	SPK0031	Rising	79	50	ме?	ме	linguistic	_	_	End=125.213
80-0	SPK0031	Falling	80	51	Бірдеңе	Бірдеңе	linguistic	_	_	Begin=125.213
80-1	SPK0031	Falling	80	51	деп	деп	linguistic	_	_	_
80-2	SPK0031	Falling	80	51	сөйлеп.	сөйлеп	linguistic	_	_	End=126.322
81-0	SPK0031	Continuing	81	52	Енді	Енді	linguistic	_	_	Begin=126.414
81-1	SPK0031	Continuing	81	52	бар,	бар	linguistic	_	_	End=127.751
82-0	SPK0031	Continuing	82	52	¬Жанатқа	Жанатқа	linguistic	_	Anonymized=Yes	Begin=128.734
82-1	SPK0031	Continuing	82	52	айт	айт	linguistic	_	_	_
82-2	SPK0031	Continuing	82	52	деген,	деген	linguistic	_	_	End=129.754
83-0	SPK0031	Rising	83	52	шықты	шықты	linguistic	_	_	Begin=129.754
83-1	SPK0031	Rising	83	52	¬Жанатқа	Жанатқа	linguistic	_	Anonymized=Yes	_
83-2	SPK0031	Rising	83	52	білмеймін?	білмеймін	linguistic	_	_	End=131.383
84-0	SPK0031	Falling	84	53	Біреу	Біреу	linguistic	_	_	Begin=131.561
84-1	SPK0031	Falling	84	53	апармаса.	апармаса	linguistic	_	_	End=132.756
85-0	SPK0032	Falling	85	54	Иә.	Иә	linguistic	_	_	Begin=132.54|End=133.451
86-0	SPK0031	Falling	86	55	Енді	Енді	linguistic	_	_	Begin=133.519
86-1	SPK0031	Falling	86	55	сонымен	сонымен	linguistic	_	_	_
86-2	SPK0031	Falling	86	55	әгі	әгі	linguistic	_	_	_
86-3	SPK0031	Falling	86	55	ақшаны	ақшаны	linguistic	_	_	_
86-4	SPK0031	Falling	86	55	көпіртіп	көпіртіп	linguistic	_	_	_
86-5	SPK0031	Falling	86	55	жүр	жүр	linguistic	_	_	_
86-6	SPK0031	Falling	86	55	ғой	ғой	linguistic	_	_	_
86-7	SPK0031	Falling	86	55	ол.	ол	linguistic	_	_	End=136.259
87-0	SPK0031	Falling	87	56	Миллионды.	Миллионды	linguistic	_	_	Begin=136.972|End=138.216
88-0	SPK0032	Interrupted	88	57	Әгі	Әгі	linguistic	_	_	Begin=137.977
88-1	SPK0032	Interrupted	88	57	екі	екі	linguistic	_	_	_
88-2	SPK0032	Interrupted	88	57	жүз	жүз	linguistic	_	_	_
88-3	SPK0032	Interrupted	88	57	жир—	жир—	linguistic	_	Interrupted=Yes	End=138.801
89-0	SPK0032	Falling	89	57	екі	екі	linguistic	_	_	Begin=138.801
89-1	SPK0032	Falling	89	57	миллионды.	миллионды	linguistic	_	_	End=139.739
90-0	SPK0031	Continuing	90	58	Екі	Екі	linguistic	_	_	Begin=140.286
90-1	SPK0031	Continuing	90	58	жүз	жүз	linguistic	_	_	_
90-2	SPK0031	Continuing	90	58	теңгеге	теңгеге	linguistic	_	_	_
90-3	SPK0031	Continuing	90	58	шыт	шыт	linguistic	_	_	_
90-4	SPK0031	Continuing	90	58	макарон	макарон	linguistic	_	_	_
90-5	SPK0031	Continuing	90	58	#	#	unknown	_	_	End=143.082
91-0	SPK0031	Falling	91	58	мынандай	мынандай	linguistic	_	_	Begin=143.082
91-1	SPK0031	Falling	91	58	мынандай	мынандай	linguistic	_	_	_
91-2	SPK0031	Falling	91	58	қармалар	қармалар	linguistic	_	_	_
91-3	SPK0031	Falling	91	58	әгі.	әгі	linguistic	_	_	End=145.578
92-0	SPK0031	Interrupted	92	59	Үйді—	Үйді—	linguistic	_	Interrupted=Yes	Begin=146.129|End=147.177
93-0	SPK0031	Interrupted	93	59	қолдың	қолдың	linguistic	_	_	Begin=147.177
93-1	SPK0031	Interrupted	93	59	қармасы	қармасы	linguistic	_	_	_
93-2	SPK0031	Interrupted	93	59	же	же	linguistic	_	_	_
93-3	SPK0031	Interrupted	93	59	а—	а—	linguistic	_	Interrupted=Yes	End=148.826
94-0	SPK0031	Falling	94	59	ата	ата	linguistic	_	_	Begin=148.826
94-1	SPK0031	Falling	94	59	деп	деп	linguistic	_	_	_
94-2	SPK0031	Falling	94	59	қояды.	қояды	linguistic	_	_	End=149.934
95-0	SPK0031	Falling	95	60	Сатып	Сатып	linguistic	_	_	Begin=149.976
95-1	SPK0031	Falling	95	60	әкелген	әкелген	linguistic	_	_	_
95-2	SPK0031	Falling	95	60	қармалар	қармалар	linguistic	_	_	_
95-3	SPK0031	Falling	95	60	өңкей	өңкей	linguistic	_	_	_
95-4	SPK0031	Falling	95	60	мынандай	мынандай	linguistic	_	_	_
95-5	SPK0031	Falling	95	60	мынандай.	мынандай	linguistic	_	_	End=152.522
96-0	SPK0032	Falling	96	61	Е-	Е-	linguistic	_	Interrupted=Yes	Begin=153.457
96-1	SPK0032	Falling	96	61	екі.	екі	linguistic	_	_	End=154.557
97-0	SPK0032	Falling	97	62	Қалада	Қалада	linguistic	_	_	Begin=154.557
97-1	SPK0032	Falling	97	62	екі	екі	linguistic	_	_	_
97-2	SPK0032	Falling	97	62	жүз	жүз	linguistic	_	_	_
97-3	SPK0032	Falling	97	62	жиырма	жиырма	linguistic	_	_	_
97-4	SPK0032	Falling	97	62	теңге	теңге	linguistic	_	_	_
97-5	SPK0032	Falling	97	62	сол.	сол	linguistic	_	_	End=157.359
98-0	SPK0032	Continuing	98	63	Бұрын,	Бұрын	linguistic	_	_	Begin=157.411|End=158.278
99-0	SPK0032	Falling	99	63	жүз	жүз	linguistic	_	_	Begin=158.278
99-1	SPK0032	Falling	99	63	сексен	сексен	linguistic	_	_	_
99-2	SPK0032	Falling	99	63	болатын.	болатын	linguistic	_	_	End=159.804
100-0	SPK0032	Falling	100	64	Е	Е	linguistic	_	_	Begin=159.804
100-1	SPK0032	Falling	100	64	мына	мына	linguistic	_	_	_
100-2	SPK0032	Falling	100	64	жерде	жерде	linguistic	_	_	_
100-3	SPK0032	Falling	100	64	одан	одан	linguistic	_	_	_
100-4	SPK0032	Falling	100	64	да	да	linguistic	_	_	_
100-5	SPK0032	Falling	100	64	қымбат.	қымбат	linguistic	_	_	End=161.435
101-0	SPK0032	Falling	101	_	###.	###	unknown	_	_	Begin=161.435|End=162.356
102-0	SPK0031	Continuing	102	65	#,	#	unknown	_	_	Begin=162.606|End=163.02
103-0	SPK0031	Falling	103	65	өзімізде	өзімізде	linguistic	_	_	Begin=163.02
103-1	SPK0031	Falling	103	65	ол.	ол	linguistic	_	_	End=163.921
104-0	SPK0031	Rising	104	66	Қаладан	Қаладан	linguistic	_	_	Begin=163.921
104-1	SPK0031	Rising	104	66	әкелмейді	әкелмейді	linguistic	_	_	_
104-2	SPK0031	Rising	104	66	ғой	ғой	linguistic	_	_	_
104-3	SPK0031	Rising	104	66	оны?	оны	linguistic	_	_	End=165.678
105-0	SPK0032	Falling	105	67	Иә.	Иә	linguistic	_	_	Begin=165.104|End=165.774
106-0	SPK0031	Falling	106	_	###.	###	unknown	_	_	Begin=165.785|End=167.095
107-0	SPK0032	Falling	107	68	Магазинге	Магазинге	linguistic	_	_	Begin=167.17
107-1	SPK0032	Falling	107	68	келеді	келеді	linguistic	_	_	_
107-2	SPK0032	Falling	107	68	ғой	ғой	linguistic	_	_	_
107-3	SPK0032	Falling	107	68	ей.	ей	linguistic	_	_	End=169.206
108-0	SPK0031	Continuing	108	69	(H)	(H)	inhale	_	_	Begin=169.299
108-1	SPK0031	Continuing	108	69	Қаладан,	Қаладан	linguistic	_	_	End=170.891
109-0	SPK0031	Continuing	109	69	мәгәзінге	мәгәзінге	linguistic	_	_	Begin=170.891
109-1	SPK0031	Continuing	109	69	келгенде	келгенде	linguistic	_	_	_
109-2	SPK0031	Continuing	109	69	ол,	ол	linguistic	_	_	End=171.955
110-0	SPK0031	Continuing	110	70	осы	осы	linguistic	_	_	Begin=171.955
110-1	SPK0031	Continuing	110	70	жердегі	жердегі	linguistic	_	_	_
110-2	SPK0031	Continuing	110	70	халықтар	халықтар	linguistic	_	_	_
110-3	SPK0031	Continuing	110	70	да	да	linguistic	_	_	_
110-4	SPK0031	Continuing	110	70	жасап,	жасап	linguistic	_	_	End=173.581
111-0	SPK0031	Falling	111	70	мәгәзінге	мәгәзінге	linguistic	_	_	Begin=173.581
111-1	SPK0031	Falling	111	70	өткізеді.	өткізеді	linguistic	_	_	End=174.994
112-0	SPK0031	Falling	112	71	Содан	Содан	linguistic	_	_	Begin=174.994
112-1	SPK0031	Falling	112	71	да	да	linguistic	_	_	_
112-2	SPK0031	Falling	112	71	әкеледі.	әкеледі	linguistic	_	_	End=176.136
113-0	SPK0032	Falling	113	_	###.	###	unknown	_	_	Begin=176.159|End=177.369
114-0	SPK0031	Interrupted	114	72	Кәдімөс—	Кәдімөс—	linguistic	_	Interrupted=Yes	Begin=176.323|End=176.764
